state,action,reward,next_state
"[25.593290328979492, 14.333846092224121, 8.395395278930664]",-11.259444236755371,-2.0656185673998912,"[14.333846092224121, 34.19843292236328, 9.561086654663086]"
"[14.333846092224121, 34.19843292236328, 9.561086654663086]",0.0,-22.532302119945143,"[14.333846092224121, 73.71610260009766, 8.924579620361328]"
"[14.333846092224121, 73.71610260009766, 8.924579620361328]",0.0,-24.113905090205545,"[14.333846092224121, 115.96451568603516, 6.915013313293457]"
"[14.333846092224121, 115.96451568603516, 6.915013313293457]",0.0,-26.270340726567284,"[14.333846092224121, 100.18203735351562, 7.486382961273193]"
"[14.333846092224121, 100.18203735351562, 7.486382961273193]",0.0,-25.965384406777343,"[14.333846092224121, 78.19115447998047, 7.65012264251709]"
"[14.333846092224121, 78.19115447998047, 7.65012264251709]",0.0,-20.389780744531198,"[14.333846092224121, 74.5286636352539, 5.056340217590332]"
"[14.333846092224121, 74.5286636352539, 5.056340217590332]",0.0,-13.029347125547787,"[14.333846092224121, 40.762001037597656, 6.850416660308838]"
"[14.333846092224121, 40.762001037597656, 6.850416660308838]",0.0,-8.99117809275528,"[14.333846092224121, 30.171607971191406, 5.324495792388916]"
"[14.333846092224121, 30.171607971191406, 5.324495792388916]",0.0,-10.09982218385875,"[14.333846092224121, 47.03315353393555, 3.3000872135162354]"
"[14.333846092224121, 47.03315353393555, 3.3000872135162354]",0.0,-11.512410571011284,"[14.333846092224121, 48.08982849121094, 3.2650108337402344]"
"[14.333846092224121, 48.08982849121094, 3.2650108337402344]",0.0,-19.45644176634275,"[14.333846092224121, 68.27339935302734, 2.7858588695526123]"
"[14.333846092224121, 68.27339935302734, 2.7858588695526123]",50.0,-28.972717437595545,"[64.33384704589844, 82.76685333251953, 4.6646857261657715]"
"[64.33384704589844, 82.76685333251953, 4.6646857261657715]",0.0,-34.834590065381065,"[64.33384704589844, 107.98757934570312, 2.8999063968658447]"
"[64.33384704589844, 107.98757934570312, 2.8999063968658447]",0.0,-32.65859686358412,"[64.33384704589844, 125.00458526611328, 0.5348836779594421]"
"[64.33384704589844, 125.00458526611328, 0.5348836779594421]",50.0,-40.35343939082228,"[100.0, 113.44242095947266, 2.66683292388916]"
"[100.0, 113.44242095947266, 2.66683292388916]",0.0,-25.561546569025257,"[100.0, 100.61825561523438, 1.7253854274749756]"
"[100.0, 100.61825561523438, 1.7253854274749756]",0.0,-14.959716131842853,"[100.0, 65.20835876464844, 3.355713129043579]"
"[100.0, 65.20835876464844, 3.355713129043579]",-65.20835876464844,58.45277600476058,"[34.79164123535156, 44.56864547729492, 3.999783754348755]"
"[34.79164123535156, 44.56864547729492, 3.999783754348755]",0.0,-10.296821968507775,"[34.79164123535156, 18.863632202148438, 4.463608264923096]"
"[34.79164123535156, 18.863632202148438, 4.463608264923096]",-18.863632202148438,38.640316462943176,"[15.928009033203125, 4.190712928771973, 5.395325183868408]"
"[50.0, -3.2525887489318848, 3.9109175205230713]",3.2525887489318848,0.0,"[53.25259017944336, 25.328125, 7.181371212005615]"
"[53.25259017944336, 25.328125, 7.181371212005615]",-26.62629508972168,161.95915769160484,"[26.62629508972168, 2.1867270469665527, 6.625974178314209]"
"[26.62629508972168, 2.1867270469665527, 6.625974178314209]",-2.1867270469665527,89.91481353120201,"[24.43956756591797, 0.4223213195800781, 6.8921942710876465]"
"[24.43956756591797, 0.4223213195800781, 6.8921942710876465]",-12.219783782958984,100.75497134121875,"[12.219783782958984, 24.989990234375, 9.287507057189941]"
